identifier,lenmm,weightg,gear,temp,DO,pH,cond
CJS2201033LWLY,133,22,SN,21.8,102.4,8.32,63.2
CJS2201034LSGR,226,88,SN,21.8,102.4,8.32,63.2
CJS2201035LSHN,86,5,SN,21.8,102.4,8.32,63.2
CJS2201036LYLP,149,37,SN,21.8,102.4,8.32,63.2
CJS2201037LYLP,129,20,SN,21.8,102.4,8.32,63.2
CJS2201038LSHN,76,3,SN,21.8,102.4,8.32,63.2
CJS2201039LPKS,112,21,SN,21.8,102.4,8.32,63.2
CJS2201040LPKS,82,8,SN,21.8,102.4,8.32,63.2
CJS2201041LYLP,67,3,SN,21.8,102.4,8.32,63.2
CJS2201042LYLP,66,2,SN,21.8,102.4,8.32,63.2
CJS2201043LSHN,68,1,SN,21.8,102.4,8.32,63.2
CJS2201044LRKB,191,140,HN,21.7,101.2,8.22,70
LSL2201001LRKB,128,43,FN,18,92,7.8,95
LSL2201002LRKB,175,129,FN,18,92,7.8,95
LSL2201003LRKB,140,69,FN,18,92,7.8,95
LSL2201004LRKB,53,3,FN,18,92,7.8,95
LSL2201005LRKB,48,3,FN,18,92,7.8,95
LSL2201006LBLG,36,2,MT,18,92,7.8,95
LSL2201007LBLG,35,1,MT,17.7,98.1,8,99.2
LSL2201008LYLP,103,17,SN,18.1,92.3,7.89,89.2
LSL2201009LYLP,80,8,SN,18.1,92.3,7.89,89.2
LSL2201010LSMB,270,273,AN,17.6,91.8,7.64,103.8
LSL2201011LRKB,140,14,FN,18,91.8,7.91,89.5
LSL2201012LYLP,125,23,SN,18.1,92.3,7.89,89.2
LSL2201013LPKS,78,13,SN,18.1,92.3,7.89,89.2
LSL2201014LYLP,85,8,SN,18.1,92.3,7.89,89.2
LSL2201015LRKB,47,2,MT,18,92,7.8,95
LSL2201016LRKB,74,10,SN,18.1,92.3,7.89,89.2
LSL2201017LBLG,34,7,MT,18,92,7.8,95
LSL2201018LYLP,80,7,SN,18.1,92.3,7.89,89.2
CSJ2202001LSHN,75,4,FN,16,94,7.96,96.9
CSJ2202002LWLY,371,465,FN,16,94,7.96,96.9
CSJ2202003LYLP,182,74,FN,16,94,7.96,96.9
CSJ2202004LPKS,150,88,FN,16,94,7.96,96.9
CSJ2202005LPKS,117,35,FN,16,94,7.96,96.9
CSJ2202006LPKS,119,42,FN,16,94,7.96,96.9
CSJ2202007LPKS,84,14,FN,16,94,7.96,96.9
CSJ2202008LPKS,78,12,FN,16,94,7.96,96.9
CSJ2202009LSTS,66,2,FN,16,94,7.96,96.9
CSJ2202010LBLG,59,2,MN,16,98.3,7.97,97.5
CSJ2202011LBLG,44,1,MN,16,98.3,7.97,97.5
CSJ2202012LPKS,44,3,MN,16,98.3,7.97,97.5
CSJ2202013LYLP,145,33,MN,16,98.3,7.97,97.5
CSJ2202014LMMS,56,1,SN,16.3,98.6,8,97.2
CSJ2202015LYLP,75,5,SN,16.3,98.6,8,97.2
CSJ2202016LYLP,80,7,SN,16.3,98.6,8,97.2
CSJ2202017LYLP,86,7,SN,16.3,98.6,8,97.2
CSJ2202018LYLP,76,4,SN,16.3,98.6,8,97.2
CSJ2202019LYLP,85,7,SN,16.3,98.6,8,97.2
CSJ2202020LYLP,79,5,SN,16.3,98.6,8,97.2
CSJ2202021LYLP,81,5,SN,16.3,98.6,8,97.2
CSJ2202022LYLP,73,4,SN,16.3,98.6,8,97.2
CSJ2202023LYLP,92,8,SN,16.3,98.6,8,97.2
CSJ2202024LYLP,82,6,SN,16.3,98.6,8,97.2
CSJ2202025LYLP,95,9,SN,16.3,98.6,8,97.2
CSJ2202026LSMB,182,586,SN,16.3,98.6,8,97.2
CSJ2202027LMNE,340,318,SN,16.3,98.6,8,97.2
CSJ2202028LMNE,280,239,AN,16,94,7.96,96.9
CSJ2202029LSMB,245,199,SN,16.3,98.6,8,97.2
CSJ2202030LYLP,87,7,SN,16.3,98.6,8,97.2
CSJ2202031LYLP,68,4,SN,16.3,98.6,8,97.2
